"County, State",Cost Per Meal
"Cole County, Missouri",$3.52 
"Cooper County, Missouri",$3.83 
"Crawford County, Missouri",$3.48 
"Dade County, Missouri",$3.29 
"Dallas County, Missouri",$3.39 
"Daviess County, Missouri",$4.04 
"DeKalb County, Missouri",$4.04 
"Dent County, Missouri",$3.48 
"Douglas County, Missouri",$3.38 
"Dunklin County, Missouri",$3.16 
"Franklin County, Missouri",$3.66 
"Gasconade County, Missouri",$3.65 
"Gentry County, Missouri",$3.51 
"Greene County, Missouri",$3.59 
"Grundy County, Missouri",$4.04 
"Harrison County, Missouri",$3.50 
"Henry County, Missouri",$3.40 
"Hickory County, Missouri",$3.37 
"Holt County, Missouri",$3.55 
"Howard County, Missouri",$3.37 
"Howell County, Missouri",$3.28 
"Iron County, Missouri",$3.42 
"Jackson County, Missouri",$3.80 
"Jasper County, Missouri",$3.36 
"Jefferson County, Missouri",$3.65 
"Johnson County, Missouri",$3.57 
"Knox County, Missouri",$3.50 
"Laclede County, Missouri",$3.31 
"Lafayette County, Missouri",$3.89 
"Lawrence County, Missouri",$3.32 
"Lewis County, Missouri",$3.58 
"Lincoln County, Missouri",$3.47 
"Linn County, Missouri",$3.48 
"Livingston County, Missouri",$3.34 
"McDonald County, Missouri",$3.50 
"Macon County, Missouri",$3.34 
"Madison County, Missouri",$3.44 
"Maries County, Missouri",$3.46 
"Marion County, Missouri",$3.42 
"Mercer County, Missouri",$3.51 
"Miller County, Missouri",$3.83 
"Mississippi County, Missouri",$3.58 
"Moniteau County, Missouri",$3.53 
"Monroe County, Missouri",$3.40 
"Montgomery County, Missouri",$3.43 
"Morgan County, Missouri",$3.19 
"New Madrid County, Missouri",$3.57 
"Newton County, Missouri",$3.31 
"Nodaway County, Missouri",$3.51 
"Oregon County, Missouri",$3.28 
"Osage County, Missouri",$3.55 
"Ozark County, Missouri",$3.58 
"Pemiscot County, Missouri",$3.20 
"Perry County, Missouri",$3.40 
"Pettis County, Missouri",$3.37 
"Phelps County, Missouri",$3.44 
"Pike County, Missouri",$3.50 
"Platte County, Missouri",$4.14 
"Polk County, Missouri",$3.35 
"Pulaski County, Missouri",$3.41 
"Putnam County, Missouri",$3.50 
"Ralls County, Missouri",$3.43 
"Randolph County, Missouri",$3.33 
"Ray County, Missouri",$3.38 
"Reynolds County, Missouri",$3.40 
"Ripley County, Missouri",$3.25 
"St. Charles County, Missouri",$3.86 
"St. Clair County, Missouri",$3.36 
"Ste. Genevieve County, Missouri",$3.41 
"St. Francois County, Missouri",$3.42 
"St. Louis County, Missouri",$4.10 
"Saline County, Missouri",$3.35 
"Schuyler County, Missouri",$3.49 
"Scotland County, Missouri",$3.46 
"Scott County, Missouri",$3.55 
"Shannon County, Missouri",$3.28 
"Shelby County, Missouri",$3.34 
"Stoddard County, Missouri",$3.24 
"Stone County, Missouri",$3.45 
"Sullivan County, Missouri",$3.51 
"Taney County, Missouri",$3.66 
"Texas County, Missouri",$3.26 
"Vernon County, Missouri",$3.30 
"Warren County, Missouri",$3.58 
"Washington County, Missouri",$3.21 
"Wayne County, Missouri",$3.25 
"Webster County, Missouri",$3.39 
"Worth County, Missouri",$3.54 
"Wright County, Missouri",$3.25 
"St. Louis city, Missouri",$4.24 
"Beaverhead County, Montana",$3.64 
"Big Horn County, Montana",$3.65 
"Blaine County, Montana",$3.58 
"Broadwater County, Montana",$3.81 
"Carbon County, Montana",$3.65 
"Carter County, Montana",$3.72 
"Cascade County, Montana",$3.58 
"Chouteau County, Montana",$3.58 
"Custer County, Montana",$3.74 
"Daniels County, Montana",$3.79 
"Dawson County, Montana",$3.72 
"Deer Lodge County, Montana",$3.64 
"Fallon County, Montana",$3.72 
"Fergus County, Montana",$3.58 
"Flathead County, Montana",$3.76 
"Gallatin County, Montana",$4.17 
"Garfield County, Montana",$3.65 
"Glacier County, Montana",$3.76 
"Golden Valley County, Montana",$3.65 
"Granite County, Montana",$4.00 
"Hill County, Montana",$3.58 
"Jefferson County, Montana",$3.64 
"Judith Basin County, Montana",$3.58 
"Lake County, Montana",$3.73 
"Lewis and Clark County, Montana",$3.81 
"Liberty County, Montana",$3.58 
"Lincoln County, Montana",$3.51 
"McCone County, Montana",$3.79 
"Madison County, Montana",$4.17 
"Meagher County, Montana",$3.81 
"Mineral County, Montana",$3.73 
"Missoula County, Montana",$3.83 
"Musselshell County, Montana",$3.65 
"Park County, Montana",$4.17 
"Petroleum County, Montana",$3.65 
"Phillips County, Montana",$3.58 
"Pondera County, Montana",$3.58 
"Powder River County, Montana",$3.64 
"Powell County, Montana",$3.64 
"Prairie County, Montana",$3.72 
"Ravalli County, Montana",$4.00 
"Richland County, Montana",$3.79 
"Roosevelt County, Montana",$3.79 
"Rosebud County, Montana",$3.74 
"Sanders County, Montana",$3.73 
"Sheridan County, Montana",$3.79 
"Silver Bow County, Montana",$3.64 
"Stillwater County, Montana",$3.65 
"Sweet Grass County, Montana",$4.17 
"Teton County, Montana",$3.58 
"Toole County, Montana",$3.58 
"Treasure County, Montana",$3.65 
"Valley County, Montana",$3.79 
"Wheatland County, Montana",$3.65 
"Wibaux County, Montana",$3.72 
"Yellowstone County, Montana",$3.65 
"Adams County, Nebraska",$3.30 
"Antelope County, Nebraska",$3.43 
"Arthur County, Nebraska",$3.45 
"Banner County, Nebraska",$3.41 
"Blaine County, Nebraska",$3.45 
"Boone County, Nebraska",$3.45 
"Box Butte County, Nebraska",$3.41 
"Boyd County, Nebraska",$3.48 
"Brown County, Nebraska",$3.45 
"Buffalo County, Nebraska",$3.69 
"Burt County, Nebraska",$3.53 
"Butler County, Nebraska",$3.45 
"Cass County, Nebraska",$4.10 
"Cedar County, Nebraska",$3.48 
"Chase County, Nebraska",$3.45 
"Cherry County, Nebraska",$3.45 
"Cheyenne County, Nebraska",$3.36 
"Clay County, Nebraska",$3.30 
"Colfax County, Nebraska",$3.45 
"Cuming County, Nebraska",$3.46 
"Custer County, Nebraska",$3.21 
"Dakota County, Nebraska",$3.08 
"Dawes County, Nebraska",$3.41 
"Dawson County, Nebraska",$3.21 
"Deuel County, Nebraska",$3.36 
"Dixon County, Nebraska",$3.08 
"Dodge County, Nebraska",$3.46 
"Douglas County, Nebraska",$3.79 
"Dundy County, Nebraska",$3.45 
"Fillmore County, Nebraska",$3.30 
"Franklin County, Nebraska",$3.30 
"Frontier County, Nebraska",$3.21 
"Furnas County, Nebraska",$3.21 
"Gage County, Nebraska",$3.34 
"Garden County, Nebraska",$3.36 
"Garfield County, Nebraska",$3.33 
"Gosper County, Nebraska",$3.21 
"Grant County, Nebraska",$3.45 
"Greeley County, Nebraska",$3.33 
"Hall County, Nebraska",$3.33 
"Hamilton County, Nebraska",$3.33 
"Harlan County, Nebraska",$3.69 
"Hayes County, Nebraska",$3.45 
"Hitchcock County, Nebraska",$3.45 
"Holt County, Nebraska",$3.43 
"Hooker County, Nebraska",$3.45 
"Howard County, Nebraska",$3.33 
"Jefferson County, Nebraska",$3.34 
"Johnson County, Nebraska",$3.34 
"Kearney County, Nebraska",$3.69 
"Keith County, Nebraska",$3.45 
"Keya Paha County, Nebraska",$3.48 
"Kimball County, Nebraska",$3.41 
"Knox County, Nebraska",$3.48 
"Lancaster County, Nebraska",$3.74 
"Lincoln County, Nebraska",$3.45 
"Logan County, Nebraska",$3.45 
"Loup County, Nebraska",$3.21 
"McPherson County, Nebraska",$3.45 
"Madison County, Nebraska",$3.43 
"Merrick County, Nebraska",$3.33 
"Morrill County, Nebraska",$3.41 
"Nance County, Nebraska",$3.45 
"Nemaha County, Nebraska",$4.10 
"Nuckolls County, Nebraska",$3.30 
"Otoe County, Nebraska",$4.10 
"Pawnee County, Nebraska",$3.34 
"Perkins County, Nebraska",$3.45 
"Phelps County, Nebraska",$3.69 
"Pierce County, Nebraska",$3.43 
"Platte County, Nebraska",$3.45 
"Polk County, Nebraska",$3.45 
"Red Willow County, Nebraska",$3.21 
"Richardson County, Nebraska",$3.42 
"Rock County, Nebraska",$3.48 
"Saline County, Nebraska",$3.74 
"Sarpy County, Nebraska",$3.67 
"Saunders County, Nebraska",$3.83 
"Scotts Bluff County, Nebraska",$3.41 
"Seward County, Nebraska",$3.74 
"Sheridan County, Nebraska",$3.41 
"Sherman County, Nebraska",$3.69 
"Sioux County, Nebraska",$3.41 
"Stanton County, Nebraska",$3.43 
"Thayer County, Nebraska",$3.34 
"Thomas County, Nebraska",$3.45 
"Thurston County, Nebraska",$3.08 
"Valley County, Nebraska",$3.33 
"Washington County, Nebraska",$3.53 
"Wayne County, Nebraska",$3.43 
"Webster County, Nebraska",$3.30 
"Wheeler County, Nebraska",$3.43 
"York County, Nebraska",$3.33 
"Churchill County, Nevada",$3.59 
"Clark County, Nevada",$3.63 
"Douglas County, Nevada",$3.92 
"Elko County, Nevada",$3.65 
"Esmeralda County, Nevada",$3.50 
"Eureka County, Nevada",$3.65 
"Humboldt County, Nevada",$3.65 
"Lander County, Nevada",$3.65 
"Lincoln County, Nevada",$3.72 
"Lyon County, Nevada",$3.69 
"Mineral County, Nevada",$3.59 
"Nye County, Nevada",$3.50 
"Pershing County, Nevada",$3.59 
"Storey County, Nevada",$4.06 
"Washoe County, Nevada",$4.06 
"White Pine County, Nevada",$3.65 
"Carson City, Nevada",$3.71 
"Belknap County, New Hampshire",$3.99 
"Carroll County, New Hampshire",$4.09 
"Cheshire County, New Hampshire",$3.81 
"Coos County, New Hampshire",$3.80 
"Grafton County, New Hampshire",$3.98 
"Hillsborough County, New Hampshire",$3.96 
"Merrimack County, New Hampshire",$3.93 
"Rockingham County, New Hampshire",$4.01 
"Strafford County, New Hampshire",$3.87 
"Sullivan County, New Hampshire",$3.63 
"Atlantic County, New Jersey",$3.83 
"Bergen County, New Jersey",$4.20 
"Burlington County, New Jersey",$3.88 
"Camden County, New Jersey",$4.02 
"Cape May County, New Jersey",$4.28 
"Cumberland County, New Jersey",$3.54 
"Essex County, New Jersey",$4.35 
"Gloucester County, New Jersey",$3.72 
"Hudson County, New Jersey",$3.68 
"Hunterdon County, New Jersey",$3.94 
"Mercer County, New Jersey",$4.04 
"Middlesex County, New Jersey",$3.76 
"Monmouth County, New Jersey",$4.20 
"Morris County, New Jersey",$4.24 
"Ocean County, New Jersey",$3.91 
"Passaic County, New Jersey",$3.94 
"Salem County, New Jersey",$4.08 
"Somerset County, New Jersey",$4.13 
"Sussex County, New Jersey",$3.98 
"Union County, New Jersey",$4.02 
"Warren County, New Jersey",$3.85 
"Bernalillo County, New Mexico",$3.56 
"Catron County, New Mexico",$3.57 
"Chaves County, New Mexico",$3.34 
"Cibola County, New Mexico",$3.20 
"Colfax County, New Mexico",$4.11 
"Curry County, New Mexico",$3.52 
"De Baca County, New Mexico",$3.52 
"Doña Ana County, New Mexico",$3.39 
"Eddy County, New Mexico",$3.50 
"Grant County, New Mexico",$3.57 
"Guadalupe County, New Mexico",$3.43 
"Harding County, New Mexico",$3.43 
"Hidalgo County, New Mexico",$3.57 
"Lea County, New Mexico",$3.50 
"Lincoln County, New Mexico",$3.70 
"Los Alamos County, New Mexico",$3.96 
"Luna County, New Mexico",$3.16 
"McKinley County, New Mexico",$3.39 
"Mora County, New Mexico",$3.43 
"Otero County, New Mexico",$3.45 
"Quay County, New Mexico",$3.52 
"Rio Arriba County, New Mexico",$3.34 
"Roosevelt County, New Mexico",$3.52 
"Sandoval County, New Mexico",$3.61 
"San Juan County, New Mexico",$3.40 
"San Miguel County, New Mexico",$3.43 
"Santa Fe County, New Mexico",$3.96 
"Sierra County, New Mexico",$3.57 
"Socorro County, New Mexico",$3.34 
"Taos County, New Mexico",$4.11 
"Torrance County, New Mexico",$3.56 
"Union County, New Mexico",$3.07 
"Valencia County, New Mexico",$3.34 
"Albany County, New York",$3.95 
"Allegany County, New York",$3.75 
"Bronx County, New York",$3.90 
"Broome County, New York",$3.80 
"Cattaraugus County, New York",$3.54 
"Cayuga County, New York",$3.78 
"Chautauqua County, New York",$3.68 
"Chemung County, New York",$3.65 
"Chenango County, New York",$3.49 
"Clinton County, New York",$3.74 
"Columbia County, New York",$3.96 
"Cortland County, New York",$3.66 
"Delaware County, New York",$4.02 
"Dutchess County, New York",$3.88 
"Erie County, New York",$3.96 
"Essex County, New York",$4.00 
"Franklin County, New York",$3.62 
"Fulton County, New York",$3.52 
"Genesee County, New York",$3.56 
"Greene County, New York",$3.82 
"Hamilton County, New York",$3.92 
"Herkimer County, New York",$3.54 
"Jefferson County, New York",$3.64 
"Kings County, New York",$4.38 
"Lewis County, New York",$3.34 
"Livingston County, New York",$3.76 
"Madison County, New York",$3.73 
"Monroe County, New York",$3.93 
"Montgomery County, New York",$3.64 
"Nassau County, New York",$4.13 
"New York County, New York",$6.09 
"Niagara County, New York",$3.67 
"Oneida County, New York",$3.67 
"Onondaga County, New York",$3.92 
"Ontario County, New York",$3.89 
"Orange County, New York",$3.76 
"Orleans County, New York",$3.50 
"Oswego County, New York",$3.55 
"Otsego County, New York",$3.78 
"Putnam County, New York",$4.22 
"Queens County, New York",$3.91 
"Rensselaer County, New York",$3.84 
"Richmond County, New York",$3.93 
"Rockland County, New York",$3.89 
"St. Lawrence County, New York",$3.69 
"Saratoga County, New York",$4.06 
"Schenectady County, New York",$3.77 
"Schoharie County, New York",$3.53 
"Schuyler County, New York",$3.65 
"Seneca County, New York",$3.45 
"Steuben County, New York",$3.75 
"Suffolk County, New York",$4.14 
"Sullivan County, New York",$3.55 
"Tioga County, New York",$3.79 
"Tompkins County, New York",$4.21 
"Ulster County, New York",$3.88 
"Warren County, New York",$3.92 
"Washington County, New York",$3.89 
"Wayne County, New York",$3.62 
"Westchester County, New York",$4.25 
"Wyoming County, New York",$3.68 
"Yates County, New York",$3.92 
"Alamance County, North Carolina",$3.64 
"Alexander County, North Carolina",$3.34 
"Alleghany County, North Carolina",$3.30 
"Anson County, North Carolina",$3.31 
"Ashe County, North Carolina",$3.30 
"Avery County, North Carolina",$4.18 
"Beaufort County, North Carolina",$3.44 
"Bertie County, North Carolina",$3.28 
"Bladen County, North Carolina",$3.41 
"Brunswick County, North Carolina",$3.89 
"Buncombe County, North Carolina",$4.19 
"Burke County, North Carolina",$3.31 
"Cabarrus County, North Carolina",$3.69 
"Caldwell County, North Carolina",$3.27 
"Camden County, North Carolina",$3.48 
"Carteret County, North Carolina",$4.01 
"Caswell County, North Carolina",$3.33 
"Catawba County, North Carolina",$3.53 
"Chatham County, North Carolina",$3.85 
"Cherokee County, North Carolina",$3.38 
"Chowan County, North Carolina",$3.48 
"Clay County, North Carolina",$3.38 
"Cleveland County, North Carolina",$3.27 
"Columbus County, North Carolina",$3.23 
"Craven County, North Carolina",$3.70 
"Cumberland County, North Carolina",$3.53 
"Currituck County, North Carolina",$4.08 
"Dare County, North Carolina",$4.15 
"Davidson County, North Carolina",$3.35 
"Davie County, North Carolina",$3.45 
"Duplin County, North Carolina",$3.29 
"Durham County, North Carolina",$3.88 
"Edgecombe County, North Carolina",$3.23 
"Forsyth County, North Carolina",$3.76 
"Franklin County, North Carolina",$3.41 
"Gaston County, North Carolina",$3.48 
"Gates County, North Carolina",$3.28 
"Graham County, North Carolina",$3.38 
"Granville County, North Carolina",$3.44 
"Greene County, North Carolina",$3.44 
"Guilford County, North Carolina",$3.69 
"Halifax County, North Carolina",$3.27 
"Harnett County, North Carolina",$3.52 
"Haywood County, North Carolina",$3.76 
"Henderson County, North Carolina",$3.72 
"Hertford County, North Carolina",$3.28 
"Hoke County, North Carolina",$3.37 
"Hyde County, North Carolina",$4.15 
"Iredell County, North Carolina",$3.70 
"Jackson County, North Carolina",$3.46 
"Johnston County, North Carolina",$3.69 
"Jones County, North Carolina",$3.70 
"Lee County, North Carolina",$3.51 
"Lenoir County, North Carolina",$3.38 
"Lincoln County, North Carolina",$3.66 
"McDowell County, North Carolina",$3.30 
"Macon County, North Carolina",$3.43 
"Madison County, North Carolina",$4.08 
"Martin County, North Carolina",$3.23 
"Mecklenburg County, North Carolina",$4.09 
"Mitchell County, North Carolina",$3.30 
"Montgomery County, North Carolina",$3.23 
"Moore County, North Carolina",$4.12 
"Nash County, North Carolina",$3.41 
"New Hanover County, North Carolina",$4.09 
"Northampton County, North Carolina",$3.27 
"Onslow County, North Carolina",$3.56 
"Orange County, North Carolina",$4.44 
"Pamlico County, North Carolina",$3.70 
"Pasquotank County, North Carolina",$3.48 
"Pender County, North Carolina",$3.98 
"Perquimans County, North Carolina",$3.48 
"Person County, North Carolina",$3.38 
"Pitt County, North Carolina",$3.61 
"Polk County, North Carolina",$3.72 
"Randolph County, North Carolina",$3.39 
"Richmond County, North Carolina",$3.30 
"Robeson County, North Carolina",$3.17 
"Rockingham County, North Carolina",$3.32 
"Rowan County, North Carolina",$3.52 
"Rutherford County, North Carolina",$3.32 
"Sampson County, North Carolina",$3.25 
"Scotland County, North Carolina",$3.25 
"Stanly County, North Carolina",$3.44 
"Stokes County, North Carolina",$3.48 
"Surry County, North Carolina",$3.37 
"Swain County, North Carolina",$3.46 
"Transylvania County, North Carolina",$3.68 
"Tyrrell County, North Carolina",$3.48 
"Union County, North Carolina",$3.84 
"Vance County, North Carolina",$3.29 
"Wake County, North Carolina",$4.06 
"Warren County, North Carolina",$3.29 
"Washington County, North Carolina",$3.23 
"Watauga County, North Carolina",$4.18 
"Wayne County, North Carolina",$3.33 
"Wilkes County, North Carolina",$3.42 
"Wilson County, North Carolina",$3.46 
"Yadkin County, North Carolina",$3.42 
"Yancey County, North Carolina",$4.01 
"Adams County, North Dakota",$3.72 
"Barnes County, North Dakota",$3.49 
"Benson County, North Dakota",$3.49 
"Billings County, North Dakota",$3.72 
"Bottineau County, North Dakota",$3.55 
"Bowman County, North Dakota",$3.72 
"Burke County, North Dakota",$3.79 
"Burleigh County, North Dakota",$3.70 
"Cass County, North Dakota",$3.77 
"Cavalier County, North Dakota",$3.55 
"Dickey County, North Dakota",$3.47 
"Divide County, North Dakota",$3.79 
"Dunn County, North Dakota",$3.72 
"Eddy County, North Dakota",$3.49 
"Emmons County, North Dakota",$3.70 
"Foster County, North Dakota",$3.49 
"Golden Valley County, North Dakota",$3.72 
"Grand Forks County, North Dakota",$3.55 
"Grant County, North Dakota",$3.46 
"Griggs County, North Dakota",$3.49 
"Hettinger County, North Dakota",$3.72 
"Kidder County, North Dakota",$3.70 
"LaMoure County, North Dakota",$3.49 
"Logan County, North Dakota",$3.49 
"McHenry County, North Dakota",$3.55 
"McIntosh County, North Dakota",$3.49 
"McKenzie County, North Dakota",$3.79 
"McLean County, North Dakota",$3.46 
"Mercer County, North Dakota",$3.46 
"Morton County, North Dakota",$3.46 
"Mountrail County, North Dakota",$3.55 
"Nelson County, North Dakota",$3.55 
"Oliver County, North Dakota",$3.46 
"Pembina County, North Dakota",$3.55 
"Pierce County, North Dakota",$3.55 
"Ramsey County, North Dakota",$3.55 
"Ransom County, North Dakota",$3.77 
"Renville County, North Dakota",$3.55 
"Richland County, North Dakota",$3.71 
"Rolette County, North Dakota",$3.55 
"Sargent County, North Dakota",$3.77 
"Sheridan County, North Dakota",$3.70 
"Sioux County, North Dakota",$3.70 
"Slope County, North Dakota",$3.72 
"Stark County, North Dakota",$3.72 
"Steele County, North Dakota",$3.55 
"Stutsman County, North Dakota",$3.49 
"Towner County, North Dakota",$3.55 
"Traill County, North Dakota",$3.55 
"Walsh County, North Dakota",$3.55 
"Ward County, North Dakota",$3.55 
"Wells County, North Dakota",$3.70 
"Williams County, North Dakota",$3.79 
"Adams County, Ohio",$3.06 
"Allen County, Ohio",$3.22 
"Ashland County, Ohio",$3.59 
"Ashtabula County, Ohio",$3.62 
"Athens County, Ohio",$3.57 
"Auglaize County, Ohio",$3.51 
"Belmont County, Ohio",$3.37 
"Brown County, Ohio",$3.36 
"Butler County, Ohio",$3.54 
"Carroll County, Ohio",$3.98 
"Champaign County, Ohio",$3.45 
"Clark County, Ohio",$3.31 
"Clermont County, Ohio",$3.53 
"Clinton County, Ohio",$3.37 
"Columbiana County, Ohio",$3.49 
"Coshocton County, Ohio",$3.42 
"Crawford County, Ohio",$3.33 
"Cuyahoga County, Ohio",$4.15 
"Darke County, Ohio",$3.35 
"Defiance County, Ohio",$3.25 
"Delaware County, Ohio",$3.87 
"Erie County, Ohio",$3.50 
"Fairfield County, Ohio",$3.48 
"Fayette County, Ohio",$3.36 
"Franklin County, Ohio",$3.73 
"Fulton County, Ohio",$3.39 
"Gallia County, Ohio",$3.29 
"Geauga County, Ohio",$4.11 
"Greene County, Ohio",$3.58 
"Guernsey County, Ohio",$3.45 
"Hamilton County, Ohio",$3.68 
"Hancock County, Ohio",$3.45 
"Hardin County, Ohio",$3.04 
"Harrison County, Ohio",$3.46 
"Henry County, Ohio",$3.19 
"Highland County, Ohio",$3.21 
"Hocking County, Ohio",$3.32 
"Holmes County, Ohio",$3.61 
"Huron County, Ohio",$3.45 
"Jackson County, Ohio",$3.22 
"Jefferson County, Ohio",$3.46 
"Knox County, Ohio",$3.55 
"Lake County, Ohio",$3.92 
"Lawrence County, Ohio",$3.22 
"Licking County, Ohio",$3.57 
"Logan County, Ohio",$3.43 
"Lorain County, Ohio",$3.70 
"Lucas County, Ohio",$3.47 
"Madison County, Ohio",$3.43 
"Mahoning County, Ohio",$3.71 
"Marion County, Ohio",$3.28 
"Medina County, Ohio",$4.00 
"Meigs County, Ohio",$3.44 
"Mercer County, Ohio",$3.05 
"Miami County, Ohio",$3.52 
"Monroe County, Ohio",$3.37 
"Montgomery County, Ohio",$3.50 
"Morgan County, Ohio",$3.26 
"Morrow County, Ohio",$3.38 
"Muskingum County, Ohio",$3.37 
"Noble County, Ohio",$3.45 
"Ottawa County, Ohio",$3.69 
"Paulding County, Ohio",$3.25 
"Perry County, Ohio",$3.26 
"Pickaway County, Ohio",$3.41 
"Pike County, Ohio",$3.23 
"Portage County, Ohio",$3.77 
"Preble County, Ohio",$3.17 
"Putnam County, Ohio",$3.24 
"Richland County, Ohio",$3.42 
"Ross County, Ohio",$3.35 
"Sandusky County, Ohio",$3.35 
"Scioto County, Ohio",$3.34 
"Seneca County, Ohio",$3.29 
"Shelby County, Ohio",$3.39 
"Stark County, Ohio",$3.62 
"Summit County, Ohio",$3.93 
"Trumbull County, Ohio",$3.54 
"Tuscarawas County, Ohio",$3.65 
"Union County, Ohio",$3.56 
"Van Wert County, Ohio",$2.95 
"Vinton County, Ohio",$3.22 
"Warren County, Ohio",$3.70 
"Washington County, Ohio",$3.48 
"Wayne County, Ohio",$3.81 
"Williams County, Ohio",$3.28 
"Wood County, Ohio",$3.59 
"Wyandot County, Ohio",$3.27 
"Adair County, Oklahoma",$3.56 
"Alfalfa County, Oklahoma",$3.58 
"Atoka County, Oklahoma",$3.47 
"Beaver County, Oklahoma",$3.37 
"Beckham County, Oklahoma",$3.52 
"Blaine County, Oklahoma",$3.57 
"Bryan County, Oklahoma",$3.43 
"Caddo County, Oklahoma",$3.29 
"Canadian County, Oklahoma",$3.63 
"Carter County, Oklahoma",$3.59 
"Cherokee County, Oklahoma",$3.56 
"Choctaw County, Oklahoma",$3.52 
"Cimarron County, Oklahoma",$3.31 
"Cleveland County, Oklahoma",$3.61 
"Coal County, Oklahoma",$3.43 
"Comanche County, Oklahoma",$3.43 
"Cotton County, Oklahoma",$3.48 
"Craig County, Oklahoma",$3.60 
"Creek County, Oklahoma",$3.49 
"Custer County, Oklahoma",$3.56 
"Delaware County, Oklahoma",$3.59 
"Dewey County, Oklahoma",$3.54 
"Ellis County, Oklahoma",$3.55 
"Garfield County, Oklahoma",$3.53 
"Garvin County, Oklahoma",$3.38 
"Grady County, Oklahoma",$3.46 
"Grant County, Oklahoma",$3.56 
"Greer County, Oklahoma",$3.49 
"Harmon County, Oklahoma",$3.55 
"Harper County, Oklahoma",$3.55 
"Haskell County, Oklahoma",$3.38 
"Hughes County, Oklahoma",$3.36 
"Jackson County, Oklahoma",$3.46 
"Jefferson County, Oklahoma",$3.52 
"Johnston County, Oklahoma",$3.47 
"Kay County, Oklahoma",$3.50 
"Kingfisher County, Oklahoma",$3.50 
"Kiowa County, Oklahoma",$3.44 
"Latimer County, Oklahoma",$3.50 
"Le Flore County, Oklahoma",$3.49 
"Lincoln County, Oklahoma",$3.44 
"Logan County, Oklahoma",$3.48 
"Love County, Oklahoma",$3.65 
"McClain County, Oklahoma",$3.47 
"McCurtain County, Oklahoma",$3.48 
"McIntosh County, Oklahoma",$3.57 
"Major County, Oklahoma",$3.57 
"Marshall County, Oklahoma",$3.47 
"Mayes County, Oklahoma",$3.44 
"Murray County, Oklahoma",$3.42 
"Muskogee County, Oklahoma",$3.52 
"Noble County, Oklahoma",$3.58 
"Nowata County, Oklahoma",$3.65 
"Okfuskee County, Oklahoma",$3.35 
"Oklahoma County, Oklahoma",$3.65 
"Okmulgee County, Oklahoma",$3.34 
"Osage County, Oklahoma",$3.48 
"Ottawa County, Oklahoma",$3.33 
"Pawnee County, Oklahoma",$3.49 
"Payne County, Oklahoma",$3.55 
"Pittsburg County, Oklahoma",$3.52 
"Pontotoc County, Oklahoma",$3.40 
"Pottawatomie County, Oklahoma",$3.61 
"Pushmataha County, Oklahoma",$3.52 
"Roger Mills County, Oklahoma",$3.56 
"Rogers County, Oklahoma",$3.63 
"Seminole County, Oklahoma",$3.36 
"Sequoyah County, Oklahoma",$3.36 
"Stephens County, Oklahoma",$3.48 
"Texas County, Oklahoma",$3.29 
"Tillman County, Oklahoma",$3.49 
"Tulsa County, Oklahoma",$3.70 
"Wagoner County, Oklahoma",$3.52 
"Washington County, Oklahoma",$3.62 
"Washita County, Oklahoma",$3.61 
"Woods County, Oklahoma",$3.50 
"Woodward County, Oklahoma",$3.52 
"Baker County, Oregon",$3.61 
"Benton County, Oregon",$4.14 
"Clackamas County, Oregon",$4.15 
"Clatsop County, Oregon",$3.82 
"Columbia County, Oregon",$3.85 
"Coos County, Oregon",$3.69 
"Crook County, Oregon",$4.26 
"Curry County, Oregon",$3.93 
"Deschutes County, Oregon",$4.20 
"Douglas County, Oregon",$3.66 
"Gilliam County, Oregon",$3.78 
"Grant County, Oregon",$3.61 
"Harney County, Oregon",$4.26 
"Hood River County, Oregon",$4.06 
"Jackson County, Oregon",$3.86 
"Jefferson County, Oregon",$3.88 
"Josephine County, Oregon",$3.89 
"Klamath County, Oregon",$3.74 
"Lake County, Oregon",$3.74 
"Lane County, Oregon",$3.94 
"Lincoln County, Oregon",$4.00 
"Linn County, Oregon",$3.66 
"Malheur County, Oregon",$3.38 
"Marion County, Oregon",$3.72 
"Morrow County, Oregon",$3.48 
"Multnomah County, Oregon",$4.48 
"Polk County, Oregon",$3.78 
"Sherman County, Oregon",$3.78 
"Tillamook County, Oregon",$3.93 
"Umatilla County, Oregon",$3.48 
"Union County, Oregon",$3.61 
"Wallowa County, Oregon",$3.61 
"Wasco County, Oregon",$3.78 
"Washington County, Oregon",$4.25 
"Wheeler County, Oregon",$4.26 
"Yamhill County, Oregon",$4.12 
"Adams County, Pennsylvania",$3.69 
"Allegheny County, Pennsylvania",$4.08 
"Armstrong County, Pennsylvania",$3.44 
"Beaver County, Pennsylvania",$3.71 
"Bedford County, Pennsylvania",$3.75 
"Berks County, Pennsylvania",$3.64 
"Blair County, Pennsylvania",$3.53 
"Bradford County, Pennsylvania",$3.51 
"Bucks County, Pennsylvania",$4.01 
"Butler County, Pennsylvania",$3.80 
"Cambria County, Pennsylvania",$3.56 
"Cameron County, Pennsylvania",$3.51 
"Carbon County, Pennsylvania",$3.60 
"Centre County, Pennsylvania",$3.90 
"Chester County, Pennsylvania",$4.36 
"Clarion County, Pennsylvania",$3.45 
"Clearfield County, Pennsylvania",$3.52 
"Clinton County, Pennsylvania",$3.44 
"Columbia County, Pennsylvania",$3.62 
"Crawford County, Pennsylvania",$3.55 
