"County, State",Cost Per Meal
"Whitfield County, Georgia",$3.39 
"Wilcox County, Georgia",$3.57 
"Wilkes County, Georgia",$3.31 
"Wilkinson County, Georgia",$3.68 
"Worth County, Georgia",$3.29 
"Hawaii County, Hawaii",$4.82 
"Honolulu County, Hawaii",$4.46 
"Kalawao County, Hawaii",$5.29 
"Kauai County, Hawaii",$4.93 
"Maui County, Hawaii",$5.29 
"Ada County, Idaho",$4.31 
"Adams County, Idaho",$4.11 
"Bannock County, Idaho",$3.82 
"Bear Lake County, Idaho",$5.16 
"Benewah County, Idaho",$4.02 
"Bingham County, Idaho",$3.44 
"Blaine County, Idaho",$5.05 
"Boise County, Idaho",$4.31 
"Bonner County, Idaho",$3.85 
"Bonneville County, Idaho",$3.74 
"Boundary County, Idaho",$3.85 
"Butte County, Idaho",$5.05 
"Camas County, Idaho",$5.05 
"Canyon County, Idaho",$3.67 
"Caribou County, Idaho",$3.82 
"Cassia County, Idaho",$3.52 
"Clark County, Idaho",$3.59 
"Clearwater County, Idaho",$4.62 
"Custer County, Idaho",$5.05 
"Elmore County, Idaho",$3.60 
"Franklin County, Idaho",$3.67 
"Fremont County, Idaho",$3.59 
"Gem County, Idaho",$3.67 
"Gooding County, Idaho",$3.30 
"Idaho County, Idaho",$4.62 
"Jefferson County, Idaho",$3.89 
"Jerome County, Idaho",$3.30 
"Kootenai County, Idaho",$4.02 
"Latah County, Idaho",$4.04 
"Lemhi County, Idaho",$4.24 
"Lewis County, Idaho",$4.62 
"Lincoln County, Idaho",$3.30 
"Madison County, Idaho",$3.59 
"Minidoka County, Idaho",$3.29 
"Nez Perce County, Idaho",$4.62 
"Oneida County, Idaho",$3.67 
"Owyhee County, Idaho",$3.67 
"Payette County, Idaho",$4.11 
"Power County, Idaho",$3.82 
"Shoshone County, Idaho",$4.02 
"Teton County, Idaho",$5.36 
"Twin Falls County, Idaho",$3.76 
"Valley County, Idaho",$4.11 
"Washington County, Idaho",$4.11 
"Adams County, Illinois",$3.49 
"Alexander County, Illinois",$3.51 
"Bond County, Illinois",$3.54 
"Boone County, Illinois",$3.47 
"Brown County, Illinois",$3.49 
"Bureau County, Illinois",$3.53 
"Calhoun County, Illinois",$3.29 
"Carroll County, Illinois",$3.49 
"Cass County, Illinois",$3.35 
"Champaign County, Illinois",$3.63 
"Christian County, Illinois",$3.50 
"Clark County, Illinois",$3.28 
"Clay County, Illinois",$3.48 
"Clinton County, Illinois",$3.54 
"Coles County, Illinois",$3.32 
"Cook County, Illinois",$4.04 
"Crawford County, Illinois",$3.36 
"Cumberland County, Illinois",$3.32 
"DeKalb County, Illinois",$3.77 
"De Witt County, Illinois",$3.47 
"Douglas County, Illinois",$3.32 
"DuPage County, Illinois",$4.14 
"Edgar County, Illinois",$3.28 
"Edwards County, Illinois",$3.11 
"Effingham County, Illinois",$3.48 
"Fayette County, Illinois",$3.37 
"Ford County, Illinois",$3.63 
"Franklin County, Illinois",$3.28 
"Fulton County, Illinois",$3.50 
"Gallatin County, Illinois",$3.31 
"Greene County, Illinois",$3.29 
"Grundy County, Illinois",$3.78 
"Hamilton County, Illinois",$3.31 
"Hancock County, Illinois",$3.50 
"Hardin County, Illinois",$3.31 
"Henderson County, Illinois",$3.55 
"Henry County, Illinois",$3.54 
"Iroquois County, Illinois",$3.36 
"Jackson County, Illinois",$3.51 
"Jasper County, Illinois",$3.48 
"Jefferson County, Illinois",$3.42 
"Jersey County, Illinois",$3.29 
"Jo Daviess County, Illinois",$3.65 
"Johnson County, Illinois",$3.43 
"Kane County, Illinois",$3.79 
"Kankakee County, Illinois",$3.58 
"Kendall County, Illinois",$3.62 
"Knox County, Illinois",$3.53 
"Lake County, Illinois",$4.02 
"LaSalle County, Illinois",$3.61 
"Lawrence County, Illinois",$3.27 
"Lee County, Illinois",$3.56 
"Livingston County, Illinois",$3.60 
"Logan County, Illinois",$3.45 
"McDonough County, Illinois",$3.52 
"McHenry County, Illinois",$3.80 
"McLean County, Illinois",$3.66 
"Macon County, Illinois",$3.47 
"Macoupin County, Illinois",$3.53 
"Madison County, Illinois",$3.50 
"Marion County, Illinois",$3.22 
"Marshall County, Illinois",$4.19 
"Mason County, Illinois",$3.50 
"Massac County, Illinois",$3.37 
"Menard County, Illinois",$3.69 
"Mercer County, Illinois",$3.55 
"Monroe County, Illinois",$3.70 
"Montgomery County, Illinois",$3.42 
"Morgan County, Illinois",$3.35 
"Moultrie County, Illinois",$3.31 
"Ogle County, Illinois",$3.65 
"Peoria County, Illinois",$3.63 
"Perry County, Illinois",$3.32 
"Piatt County, Illinois",$3.63 
"Pike County, Illinois",$3.37 
"Pope County, Illinois",$3.31 
"Pulaski County, Illinois",$3.36 
"Putnam County, Illinois",$3.53 
"Randolph County, Illinois",$3.32 
"Richland County, Illinois",$3.27 
"Rock Island County, Illinois",$3.55 
"St. Clair County, Illinois",$3.59 
"Saline County, Illinois",$3.31 
"Sangamon County, Illinois",$3.69 
"Schuyler County, Illinois",$3.52 
"Scott County, Illinois",$3.35 
"Shelby County, Illinois",$3.31 
"Stark County, Illinois",$3.54 
"Stephenson County, Illinois",$3.66 
"Tazewell County, Illinois",$3.52 
"Union County, Illinois",$3.51 
"Vermilion County, Illinois",$3.42 
"Wabash County, Illinois",$3.11 
"Warren County, Illinois",$3.53 
"Washington County, Illinois",$3.54 
"Wayne County, Illinois",$3.42 
"White County, Illinois",$3.62 
"Whiteside County, Illinois",$3.49 
"Will County, Illinois",$3.74 
"Williamson County, Illinois",$3.43 
"Winnebago County, Illinois",$3.60 
